s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
2551,547 of 2016,2616,Farmer,Bassa Bhog,Rice,Cereals,Dharohar Samiti,Farmer,26-Dec-2013,F657  OS715 13 1508,30 December 2016,29 December 2031,26-Dec-2013  to 30-Dec-2016
2552,548 of 2016,2617,Farmer,Lodhiyari,Rice,Cereals,Dharohar Samiti,Farmer,27-Dec-2013,F671 OS729 13 1522,30 December 2016,29 December 2031,27-Dec-2013  to 30-Dec-2016
2553,549 of 2016,2618,Farmer,Banspati-1,Rice,Cereals,Dharohar Samiti,Farmer,26-Dec-2013,F641 OS699 13 1492,30 December 2016,29 December 2031,26-Dec-2013  to 30-Dec-2016
2554,550 of 2016,2619,Farmer,Dhangri Kajar,Rice,Cereals,Dharohar Samiti,Farmer,27-Dec-2013,F672 OS730 13 1523,30 December 2016,29 December 2031,27-Dec-2013  to 30-Dec-2016
2555,551 of 2016,2620,Farmer,Karela,Rice,Cereals,Dharohar Samiti,Farmer,26-Dec-2013,F668 OS726 13 1519,30 December 2016,29 December 2031,26-Dec-2013  to 30-Dec-2016
2556,552 of 2016,2621,Farmer,Potekhuji,Rice,Cereals,Dharohar Samiti,Farmer,27-Dec-2013,F685 OS743 13 1536,30 December 2016,29 December 2031,27-Dec-2013  to 30-Dec-2016
2557,553 of 2016,2622,Farmer,Aajam Lali,Rice,Cereals,Dharohar Samiti,Farmer,27-Dec-2013,F712 OS770 13 1563,30 December 2016,29 December 2031,27-Dec-2013  to 30-Dec-2016
2558,554 of 2016,2623,Farmer,Baakti Chudi,Rice,Cereals,Dharohar Samiti,Farmer,26-Dec-2013,F639 OS697 13 1490,30 December 2016,29 December 2031,26-Dec-2013  to 30-Dec-2016
2559,555 of 2016,2624,Farmer,Devmati,Rice,Cereals,Daulat Ram,Farmer,30-Dec-2013,F760 OS818 13 1614,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2560,556 of 2016,2625,Farmer,Godadani Dhan,Rice,Cereals,Anil Painkra,Farmer,30-Dec-2013,F797 OS855 13 1651,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2561,557 of 2016,2626,Farmer,PAIN BUDI Kuriya,Rice,Cereals,Shiv Shankar Singh Painkra,Farmer,30-Dec-2013,F784 OS842 13 1638,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2562,558 of 2016,2627,Farmer,Ganga Chur,Rice,Cereals,Ghanshyam,Farmer,30-Dec-2013,F786 OS844 13 1640,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2563,559 of 2016,2628,Farmer,Satra Safri,Rice,Cereals,Rajkumar Rajwade,Farmer,30-Dec-2013,F767 OS825 13 1621,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2564,560 of 2016,2629,Farmer,KUDARFUL,Rice,Cereals,Rambriksh Sai,Farmer,30-Dec-2013,F741 OS799 13 1594,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2565,561 of 2016,2630,Farmer,Loundhi,Rice,Cereals,Jagdish Singh,Farmer,30-Dec-2013,F776 OS834 13 1630,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2566,562 of 2016,2631,Farmer,DANDRAS,Rice,Cereals,Shiv Shankar Singh Painkara,Farmer,27-Dec-2013,F739 OS797 13 1592,30 December 2016,29 December 2031,27-Dec-2013  to 30-Dec-2016
2567,563 of 2016,2632,Farmer,KARHANI GHUGHARA,Rice,Cereals,Bal Sai Rajwade,Farmer,30-Dec-2013,F772 OS830 13 1626,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
2568,564 of 2016,2633,Farmer,GODA DHAN,Rice,Cereals,Mukund Sai,Farmer,30-Dec-2013,F787 OS845 13 1641,30 December 2016,29 December 2031,30-Dec-2013  to 30-Dec-2016
